Company,TypeName,Ram,Weight,Price,Touchscreen,IPS,PPi,Cpu Brand,HDD,SSD,Gpu Brand,OS
Lenovo,Notebook,8,2.2,45577.23429,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Others/No OS/Linux
Dell,Ultrabook,8,1.22,89419.06286,1,1,165.6321180513006,Intel Core i5,0,128,Intel,Windows
Asus,Netbook,2,0.98,17527.59771,0,0,135.0942111925629,Other Intel Processor,0,0,Intel,Windows
Lenovo,Gaming,8,2.5,91245.80571,0,1,141.21199808219862,Intel Core i5,1000,128,Nvidia,Windows
HP,Notebook,4,1.86,23564.98286,0,0,100.45466986113651,AMD Processor,500,0,AMD,Others/No OS/Linux
Dell,2 in 1 Convertible,8,1.62,74805.12,1,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,Ultrabook,8,1.91,60191.17714,0,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,4,2.3,38237.38149,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
Apple,Ultrabook,8,1.35,100379.52,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Dell,Notebook,8,2.2,73069.71429,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Dell,Ultrabook,8,1.88,118555.6114,0,0,141.21199808219862,Intel Core i7,0,512,Intel,Windows
HP,Notebook,8,2.5,81838.08,0,0,127.33567457123111,Intel Core i5,1000,0,Nvidia,Windows
Chuwi,Notebook,4,1.89,22376.68663,0,0,141.21199808219862,Other Intel Processor,0,0,Intel,Windows
Asus,Notebook,2,1.65,18176.09143,0,0,111.93520355955211,AMD Processor,0,0,AMD,Windows
HP,Notebook,4,2.71,40097.00571,0,0,127.33567457123111,AMD Processor,500,0,AMD,Windows
Dell,Ultrabook,16,1.2,170709.12,1,0,276.053530085501,Intel Core i7,0,512,Intel,Windows
Apple,Ultrabook,8,1.35,91154.46857,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Lenovo,Notebook,4,1.44,22742.94857,0,0,111.93520355955211,Other Intel Processor,0,0,Intel,Windows
Acer,Notebook,4,2.1,33520.73143,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Others/No OS/Linux
Dell,Notebook,8,2.8,89419.06286,0,1,127.33567457123111,Intel Core i5,1000,128,AMD,Windows
HP,Notebook,4,1.86,44635.54834,0,0,100.45466986113651,Intel Core i5,1000,0,Intel,Windows
HP,Notebook,8,2.1,80285.34857,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,4,2.0,35530.14857,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,Others/No OS/Linux
Dell,Gaming,16,2.65,136914.3771,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,8,2.3,47768.41234,0,0,100.45466986113651,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
Acer,Notebook,4,2.2,62291.93143,0,1,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,12,2.77,91245.80571,1,0,127.33567457123111,Intel Core i5,1000,0,Nvidia,Windows
Apple,Ultrabook,8,1.37,129607.4057,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
Lenovo,Notebook,4,2.2,33703.40571,0,0,100.45466986113651,Intel Core i3,0,128,Intel,Others/No OS/Linux
Asus,Gaming,8,3.2,118646.9486,0,0,127.33567457123111,AMD Processor,1000,256,AMD,Windows
Dell,Notebook,4,2.3,58364.43429,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Asus,Notebook,4,2.8,42563.10857,0,0,90.58340172449303,Other Intel Processor,1000,0,Nvidia,Windows
Lenovo,2 in 1 Convertible,4,0.69,29136.54857,1,1,224.17380907857276,Other Intel Processor,0,0,Intel,Others/No OS/Linux
Acer,Notebook,8,2.2,76814.53714,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,4,1.86,36396.93806,0,0,141.21199808219862,AMD Processor,0,256,AMD,Windows
HP,Notebook,8,1.49,100744.8686,0,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
Acer,Notebook,4,2.4,35073.46286,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
Dell,Notebook,8,2.13,70128.65829,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,1.91,40097.00571,0,0,141.21199808219862,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,4,2.0,53540.91977,0,0,100.45466986113651,Intel Core i5,0,256,Intel,Windows
MSI,Gaming,16,2.43,223684.6629,0,0,127.33567457123111,Intel Core i7,2000,256,Nvidia,Windows
Asus,Notebook,4,2.0,37904.91429,0,0,141.21199808219862,Intel Core i3,0,256,Intel,Others/No OS/Linux
Dell,Notebook,16,2.8,118646.9486,0,0,127.33567457123111,Intel Core i7,2000,256,AMD,Windows
Dell,Ultrabook,8,1.7,80285.34857,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,8,1.7,54710.94857,0,1,157.3505121487356,Intel Core i3,0,256,Intel,Others/No OS/Linux
Asus,Notebook,8,1.4,85948.25143,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,1.86,63022.62857,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Asus,Ultrabook,16,1.8,181121.5543,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows
HP,Notebook,4,1.86,40068.6912,0,0,100.45466986113651,Intel Core i3,500,0,AMD,Windows
HP,Notebook,4,1.44,20916.20571,0,0,111.93520355955211,Other Intel Processor,0,32,Intel,Windows
Lenovo,Notebook,4,1.9,50144.09143,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Windows
Asus,Gaming,12,3.0,86678.94857,0,0,127.33567457123111,Intel Core i7,1000,0,Nvidia,Others/No OS/Linux
Microsoft,Ultrabook,4,1.252,99466.14857,1,0,200.84255993695703,Intel Core i5,0,128,Intel,Windows
Dell,Ultrabook,8,1.4,87226.97143,0,1,165.6321180513006,Intel Core i7,0,256,AMD,Windows
Dell,Notebook,8,2.2,79463.31429,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
MSI,Gaming,8,2.7,100014.1714,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia,Windows
Acer,Notebook,8,2.1,35530.14857,0,0,111.93520355955211,Intel Core i3,1000,0,Intel,Windows
Asus,Gaming,8,2.2,86678.94857,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Notebook,8,2.2,47403.97714,0,0,141.21199808219862,Intel Core i5,2000,0,Intel,Others/No OS/Linux
Dell,Notebook,8,2.02,78093.25714,0,0,141.21199808219862,Intel Core i7,1000,128,Intel,Windows
Acer,Notebook,4,2.2,48408.68571,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Windows
HP,Notebook,8,2.5,89236.38857,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia,Windows
Dell,Ultrabook,8,1.88,100120.1225,0,1,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Apple,Ultrabook,8,0.92,137919.0857,0,1,226.41554716935852,Intel Core i5,0,512,Intel,Mac
HP,Notebook,8,1.63,78549.94286,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,4,2.2,36443.52,0,0,141.21199808219862,AMD Processor,0,128,AMD,Windows
Acer,Notebook,4,2.1,36078.17143,0,0,100.45466986113651,AMD Processor,1000,0,AMD,Windows
Dell,Gaming,16,2.65,123213.8057,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
HP,Ultrabook,8,1.83,63844.66286,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,8,1.96,54710.0352,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Asus,Gaming,16,2.2,132347.52,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
Dell,Ultrabook,8,1.21,150614.9486,0,1,165.6321180513006,Intel Core i7,0,256,Intel,Windows
Asus,Gaming,8,2.45,63844.66286,0,0,141.21199808219862,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,8,2.2,62931.29143,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
HP,Notebook,16,1.49,109330.56,0,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
Dell,Gaming,8,2.65,109147.8857,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Asus,Ultrabook,8,1.25,95812.66286,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,1.5,77362.56,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.2,54793.152,0,0,141.21199808219862,Intel Core i7,1000,0,AMD,Others/No OS/Linux
Dell,Notebook,4,2.2,44298.51429,0,0,141.21199808219862,Intel Core i3,0,256,AMD,Others/No OS/Linux
Asus,Notebook,6,2.0,52701.53143,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia,Windows
HP,Gaming,12,2.62,114080.0914,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
HP,Notebook,8,1.91,65671.40571,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,2.1,31876.66286,0,0,141.21199808219862,AMD Processor,500,0,AMD,Windows
Dell,Notebook,8,2.2,59095.13143,0,0,141.21199808219862,Intel Core i5,1000,0,AMD,Others/No OS/Linux
HP,Ultrabook,8,1.38,102206.2629,0,1,165.6321180513006,Intel Core i7,0,256,Nvidia,Windows
Microsoft,Ultrabook,8,1.252,122391.7714,1,0,200.84255993695703,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,1.58,60191.17714,0,1,157.3505121487356,Intel Core i5,0,256,Nvidia,Windows
Lenovo,Notebook,4,1.85,37895.78057,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,Windows
Asus,Ultrabook,8,1.3,108965.2114,0,1,157.3505121487356,Intel Core i7,0,256,Nvidia,Windows
MSI,Gaming,16,2.2,118646.9486,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Lenovo,Notebook,8,1.58,135178.9714,0,1,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Asus,Ultrabook,16,1.5,115267.4743,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Dell,Ultrabook,8,1.23,125953.92,1,0,276.053530085501,Intel Core i7,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,8,1.37,127780.6629,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,Notebook,4,1.63,65945.41714,0,1,111.93520355955211,Intel Core i5,500,0,Intel,Windows
Dell,Ultrabook,8,1.21,148788.2057,0,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,2 in 1 Convertible,8,1.26,127779.7495,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,1.63,99009.46286,0,0,157.3505121487356,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,2.16,103241.1127,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,4,2.0,51514.14857,0,0,127.33567457123111,Intel Core i3,1000,0,Nvidia,Windows
Asus,Notebook,8,1.7,102114.9257,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,6,2.1,43750.49143,1,1,141.21199808219862,Intel Core i3,1000,0,Intel,Windows
MSI,Gaming,16,1.8,204732.2057,0,0,141.21199808219862,Intel Core i7,2000,256,Nvidia,Windows
Lenovo,Notebook,8,2.2,57451.06286,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
HP,Notebook,16,2.5,116089.5086,0,0,127.33567457123111,Intel Core i7,0,512,Nvidia,Windows
Acer,Notebook,4,2.1,41193.05143,0,0,100.45466986113651,AMD Processor,0,256,AMD,Windows
HP,Notebook,4,1.86,23656.32,0,0,100.45466986113651,Other Intel Processor,500,0,Intel,Others/No OS/Linux
HP,Notebook,8,1.63,74165.76,0,0,157.3505121487356,Intel Core i5,1000,0,Intel,Windows
Asus,Notebook,4,1.65,25390.81234,0,0,111.93520355955211,AMD Processor,0,64,AMD,Windows
Dell,Notebook,16,2.8,127506.6514,0,0,127.33567457123111,Intel Core i7,2000,256,AMD,Windows
HP,Notebook,8,2.5,84760.86857,0,0,127.33567457123111,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.36,58363.52091,0,0,100.45466986113651,Intel Core i5,1000,0,AMD,Windows
Dell,Notebook,4,2.2,41010.37714,0,0,141.21199808219862,Intel Core i3,1000,0,AMD,Windows
Acer,Ultrabook,8,1.6,80742.03429,0,1,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Acer,Notebook,4,2.2,52244.84571,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia,Windows
HP,Notebook,8,2.05,54619.61143,0,0,100.45466986113651,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,8,1.63,90241.09714,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,4,1.9,23049.84137,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel,Others/No OS/Linux
Asus,Gaming,8,3.0,85674.24,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia,Windows
Lenovo,Notebook,4,2.2,45577.23429,0,0,141.21199808219862,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
HP,Notebook,4,1.32,63844.66286,0,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,4,3.0,59825.82857,0,1,127.33567457123111,Intel Core i3,1000,0,Nvidia,Windows
Lenovo,Notebook,8,1.75,101934.0782,0,1,157.3505121487356,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,8,2.4,79371.97714,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Others/No OS/Linux
Toshiba,Notebook,4,2.1,54984.96,0,0,100.45466986113651,Intel Core i5,500,0,Intel,Windows
HP,Notebook,4,1.86,33703.40571,0,0,100.45466986113651,AMD Processor,0,256,AMD,Windows
Asus,Ultrabook,8,1.25,100379.52,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
HP,Ultrabook,8,0.97,183953.0057,1,1,352.4651472131677,Other Intel Processor,0,512,Intel,Windows
Asus,Notebook,4,2.0,31419.97714,0,0,141.21199808219862,Other Intel Processor,1000,0,Intel,Windows
MSI,Gaming,16,2.9,185323.0629,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,4,2.1,40827.70286,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
Dell,Gaming,16,2.56,114103.8391,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows
Dell,Gaming,8,2.62,82112.09143,0,0,141.21199808219862,Intel Core i7,0,0,Nvidia,Windows
Lenovo,Notebook,4,1.9,45485.89714,0,0,100.45466986113651,Intel Core i5,0,128,Intel,Windows
MSI,Gaming,16,2.8,172627.2,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
HP,Ultrabook,4,1.48,98826.78857,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,1.91,56537.69143,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Lenovo,2 in 1 Convertible,4,1.74,57451.06286,1,1,157.3505121487356,Intel Core i3,0,256,Intel,Windows
Asus,2 in 1 Convertible,8,1.1,120108.3429,1,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,8,1.56,95812.66286,1,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows
Toshiba,Notebook,4,2.1,40827.70286,0,0,100.45466986113651,Intel Core i3,500,0,Intel,Windows
Asus,Notebook,4,2.03,36808.86857,0,0,100.45466986113651,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,4,3.0,73526.4,0,1,127.33567457123111,Intel Core i5,0,256,Nvidia,Windows
Dell,Notebook,8,2.13,66493.44,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,16,2.5,98552.77714,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,4,2.1,31785.32571,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel,Windows
MSI,Gaming,16,2.4,164315.52,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,4,2.1,33201.9648,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel,Windows
Dell,Gaming,8,2.56,96862.12663,0,0,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
Acer,Notebook,8,3.0,78001.92,0,1,127.33567457123111,Intel Core i5,0,256,Nvidia,Windows
HP,Notebook,4,1.49,68868.20571,0,1,165.6321180513006,Intel Core i5,500,0,Intel,Windows
Huawei,Ultrabook,8,1.05,123213.8057,0,1,199.69207064108247,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,2.71,63844.66286,0,1,127.33567457123111,Intel Core i5,2000,0,AMD,Windows
Lenovo,Notebook,4,2.2,28223.17714,0,0,100.45466986113651,AMD Processor,500,0,AMD,Others/No OS/Linux
Toshiba,Notebook,4,2.0,44663.86286,0,0,100.45466986113651,Intel Core i3,500,0,Intel,Windows
HP,Notebook,8,2.5,84304.18286,0,0,127.33567457123111,Intel Core i5,0,256,Nvidia,Windows
Dell,Notebook,8,2.3,41923.74857,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
Acer,Notebook,4,2.1,41010.37714,0,0,100.45466986113651,Intel Core i3,0,128,Intel,Windows
MSI,Gaming,32,4.4,255652.6629,0,0,119.7232157653423,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,Notebook,8,1.9,74257.09714,0,0,141.21199808219862,Intel Core i5,1000,128,AMD,Windows
HP,2 in 1 Convertible,8,1.29,136914.3771,1,1,331.2642361026012,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,16,2.02,95812.66286,0,0,141.21199808219862,Intel Core i7,2000,256,AMD,Others/No OS/Linux
Dell,Ultrabook,8,1.23,127780.6629,0,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,16,1.4,168882.3771,1,1,316.96506044349616,Intel Core i7,0,512,Intel,Windows
Toshiba,Notebook,8,2.0,72430.35429,0,0,100.45466986113651,Intel Core i5,0,128,Intel,Windows
Xiaomi,Notebook,8,1.95,109513.2343,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
Dell,Notebook,16,2.77,141481.2343,1,0,127.33567457123111,Intel Core i7,0,512,Nvidia,Windows
Dell,Notebook,16,2.06,218935.1314,1,0,282.42399616439724,Intel Core i7,0,512,Nvidia,Windows
Lenovo,Gaming,8,2.4,71151.63429,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
Acer,Ultrabook,8,1.12,90332.43429,0,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.8,99100.8,0,0,127.33567457123111,Intel Core i7,1000,128,AMD,Windows
Lenovo,2 in 1 Convertible,16,1.42,257936.0914,1,0,209.8006828649808,Intel Core i7,0,1000,Intel,Windows
Vero,Notebook,4,1.3,23747.65714,0,1,157.3505121487356,Other Intel Processor,0,0,Intel,Windows
Xiaomi,Ultrabook,8,1.3,91328.00914,0,1,165.6321180513006,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
Lenovo,Notebook,8,2.8,63753.32571,0,0,106.11306214269258,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
Dell,2 in 1 Convertible,8,1.62,76631.86286,1,1,165.6321180513006,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,8,2.5,83482.14857,0,1,127.33567457123111,Intel Core i5,1000,0,Nvidia,Windows
Razer,Gaming,32,3.49,557065.2343,1,0,254.67134914246222,Intel Core i7,0,1000,Nvidia,Windows
HP,Notebook,8,1.49,87592.32,0,0,165.6321180513006,Intel Core i5,0,512,Intel,Windows
HP,Gaming,16,3.35,125953.92,0,1,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
HP,Notebook,8,2.5,95447.31429,0,0,127.33567457123111,Intel Core i7,0,256,Nvidia,Windows
Dell,Gaming,16,2.65,168517.0286,0,1,282.42399616439724,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,Notebook,4,2.1,45029.21143,0,0,100.45466986113651,Intel Core i5,0,128,Intel,Windows
Acer,Notebook,8,2.23,67772.16,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Gaming,16,3.2,159748.6629,0,1,141.21199808219862,Intel Core i7,1000,512,Nvidia,Windows
Dell,Workstation,16,2.8,279034.9714,0,0,282.42399616439724,Other Intel Processor,1000,256,Nvidia,Windows
Lenovo,Gaming,16,2.4,127689.3257,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Others/No OS/Linux
Dell,Notebook,6,2.3,40097.00571,1,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
Dell,Ultrabook,8,1.21,178016.0914,1,1,331.2642361026012,Intel Core i7,0,256,Intel,Windows
Dell,Ultrabook,8,1.2,132347.52,0,0,165.6321180513006,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,8,2.2,54528.27429,0,0,100.45466986113651,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,8,2.4,71151.63429,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Others/No OS/Linux
Asus,Gaming,16,2.9,128511.36,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
HP,Notebook,4,2.1,31876.66286,0,0,141.21199808219862,Intel Core i3,500,0,Intel,Others/No OS/Linux
Lenovo,Notebook,8,2.2,50144.09143,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Others/No OS/Linux
Huawei,Ultrabook,8,1.05,136914.3771,0,1,199.69207064108247,Intel Core i7,0,512,Intel,Windows
Dell,Ultrabook,8,1.4,85115.25669,0,1,165.6321180513006,Intel Core i7,0,256,AMD,Windows
Lenovo,Notebook,8,2.8,53797.57714,0,0,106.11306214269258,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
HP,Notebook,8,1.63,94168.59429,0,0,157.3505121487356,Intel Core i7,0,256,Nvidia,Windows
Dell,Ultrabook,8,1.6,104946.3771,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,16,1.62,116820.2057,1,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,2.2,61867.21371,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Others/No OS/Linux
Lenovo,2 in 1 Convertible,8,1.74,82112.09143,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Toshiba,Ultrabook,8,1.2,124492.5257,0,0,165.6321180513006,Intel Core i7,0,256,Intel,Windows
HP,Notebook,8,2.1,72521.69143,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Windows
Dell,Gaming,16,4.42,224355.0775,0,1,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,8,2.2,75992.50286,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
Dell,Notebook,16,2.3,78459.51909,1,0,141.21199808219862,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,8,2.0,70238.26286,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,8,2.69,81381.39429,0,0,127.33567457123111,Intel Core i5,500,256,Nvidia,Windows
HP,Notebook,8,1.9,115906.8343,0,0,141.21199808219862,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,4,2.37,36442.60663,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
HP,Notebook,4,2.1,30141.25714,0,0,100.45466986113651,AMD Processor,500,0,AMD,Windows
Lenovo,Gaming,16,3.2,136914.3771,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Dell,Notebook,8,1.6,78458.60571,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,1.6,62931.29143,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,16,2.36,82112.09143,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Others/No OS/Linux
Acer,Notebook,4,2.1,35621.48571,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Others/No OS/Linux
Asus,Notebook,4,2.2,52518.85714,0,0,141.21199808219862,AMD Processor,1000,128,AMD,Windows
Asus,Gaming,32,4.7,355301.4857,0,0,127.33567457123111,Intel Core i7,1000,512,Nvidia,Windows
Acer,Gaming,8,2.5,77271.22286,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Lenovo,Notebook,8,2.2,53797.57714,0,0,100.45466986113651,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,8,2.1,104581.0286,0,0,127.33567457123111,Intel Core i7,1000,128,Nvidia,Windows
Asus,Notebook,8,2.69,81198.72,0,0,127.33567457123111,Intel Core i7,1000,128,Nvidia,Others/No OS/Linux
Dell,Gaming,8,2.56,80285.34857,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Lenovo,2 in 1 Convertible,8,1.38,98552.77714,1,1,158.48253022174808,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,8,2.2,89967.08571,0,0,141.21199808219862,Intel Core i7,2000,128,AMD,Windows
HP,Notebook,8,2.04,51057.46286,1,0,100.45466986113651,Intel Core i5,1000,0,Intel,Windows
Asus,Gaming,16,3.6,273920.0914,0,0,127.33567457123111,Intel Core i7,0,256,Nvidia,Windows
